24-5-22;2:30:0;6.576;12.06;86.16;0.000;1.560;
24-5-22;2:40:0;6.573;12.00;86.03;0.000;1.460;
24-5-22;2:50:0;6.568;11.94;86.11;0.000;1.820;
24-5-22;3:0:0;6.565;11.86;86.16;0.000;1.641;
24-5-22;3:10:0;6.563;11.75;86.21;0.000;1.702;
24-5-22;3:20:0;6.557;11.67;86.17;0.000;1.762;
24-5-22;3:30:0;6.553;11.65;86.17;0.000;1.970;
24-5-22;3:40:0;6.549;11.62;86.08;0.000;1.670;
24-5-22;3:50:0;6.545;11.58;86.12;0.000;1.845;
24-5-22;4:0:0;6.541;11.58;86.07;0.000;1.604;
24-5-22;4:10:0;6.538;11.58;85.97;0.000;1.645;
24-5-22;4:20:0;6.534;11.58;86.12;0.000;1.329;
24-5-22;4:30:0;6.530;11.53;86.64;0.000;1.375;
24-5-22;4:40:0;6.524;11.42;87.18;0.000;1.531;
24-5-22;4:50:0;6.518;11.35;87.73;0.000;1.235;
24-5-22;5:0:0;6.511;11.31;87.87;0.000;1.399;
24-5-22;5:10:0;6.502;11.27;87.89;0.000;1.716;
24-5-22;5:20:0;6.498;11.31;88.15;0.000;1.943;
24-5-22;5:30:0;6.488;11.26;88.74;0.000;1.612;
24-5-22;5:40:0;6.485;11.19;89.32;0.000;1.227;
24-5-22;5:50:0;6.482;11.16;89.74;0.000;1.643;
24-5-22;6:0:0;6.483;11.23;89.96;0.000;2.110;
24-5-22;6:10:0;6.494;11.29;90.07;0.000;1.785;
24-5-22;6:20:0;6.505;11.34;90.17;0.000;2.189;
24-5-22;6:30:0;6.499;11.44;90.17;0.000;1.793;
24-5-22;6:40:0;6.501;11.51;90.18;0.000;1.860;
24-5-22;6:50:0;6.502;11.54;90.02;0.000;1.593;
24-5-22;7:0:0;6.525;11.51;89.06;0.000;2.037;
24-5-22;7:10:0;6.578;11.22;87.80;0.000;1.475;
24-5-22;7:20:0;6.628;11.65;87.93;0.000;1.237;
24-5-22;7:30:0;6.769;12.14;87.39;0.000;1.360;
24-5-22;7:40:0;6.904;12.43;85.08;0.000;2.327;
24-5-22;7:50:0;7.067;12.89;82.09;0.000;2.172;
24-5-22;8:0:0;7.221;13.28;78.96;0.000;2.145;
24-5-22;8:10:0;7.297;13.48;77.64;0.000;2.389;
24-5-22;8:20:0;7.346;13.49;77.18;0.000;2.554;
24-5-22;8:30:0;7.308;13.54;76.30;0.000;2.518;
24-5-22;8:40:0;7.338;13.64;75.57;0.000;2.193;
24-5-22;8:50:0;7.356;13.94;73.44;0.000;2.308;
24-5-22;9:0:0;7.350;14.06;73.05;0.000;2.114;
24-5-22;9:10:0;7.336;14.20;73.42;0.000;1.947;
24-5-22;9:20:0;7.328;14.14;73.89;0.000;1.512;
24-5-22;9:30:0;7.336;14.70;70.74;0.000;1.775;
24-5-22;9:40:0;7.332;14.91;68.42;0.000;2.112;
24-5-22;9:50:0;7.326;14.92;68.04;0.000;2.027;
24-5-22;10:0:0;7.320;15.42;65.79;0.000;1.718;
24-5-22;10:10:0;7.315;15.18;62.11;0.000;2.293;
24-5-22;10:20:0;7.311;15.53;60.72;0.000;2.220;
24-5-22;10:30:0;7.307;15.54;62.69;0.000;2.020;
24-5-22;10:40:0;7.306;15.18;66.63;0.000;1.847;
24-5-22;10:50:0;7.305;15.39;66.32;0.000;1.977;
24-5-22;11:0:0;7.304;15.28;64.02;0.000;1.918;
24-5-22;11:10:0;7.302;15.67;64.28;0.000;1.862;
24-5-22;11:20:0;7.299;15.43;65.73;0.000;2.004;
24-5-22;11:30:0;7.296;15.70;65.06;0.000;2.002;
24-5-22;11:40:0;7.290;16.03;62.39;0.000;1.806;
24-5-22;11:50:0;7.285;16.26;61.56;0.000;1.872;
24-5-22;12:0:0;7.283;15.85;63.54;0.000;1.845;
24-5-22;12:10:0;7.269;15.39;64.26;0.000;1.927;
24-5-22;12:20:0;7.105;15.11;67.17;0.000;1.664;
